"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","056","BEL","Belgium","2017","34219",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","056","BEL","Belgium","2018","32684",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","056","BEL","Belgium","2019","34829",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","056","BEL","Belgium","2020","34506",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","056","BEL","Belgium","2021","36199",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","070","BIH","Bosnia and Herzegovina","2005","891",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","070","BIH","Bosnia and Herzegovina","2006","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","070","BIH","Bosnia and Herzegovina","2007","..",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","070","BIH","Bosnia and Herzegovina","2008","1873",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","070","BIH","Bosnia and Herzegovina","2009","1711",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","070","BIH","Bosnia and Herzegovina","2010","2039",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","070","BIH","Bosnia and Herzegovina","2011","2309",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","070","BIH","Bosnia and Herzegovina","2012","2301",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","070","BIH","Bosnia and Herzegovina","2013","2658",
"51","Carriage of goods by road, mln tonne-km","Carriage of goods by road","Millions of tonne-km","070","BIH","Bosnia and Herzegovina","2014","3216",
